"","ID","artif","available","unavailable","munic","kommunenummer","artifshare","municipality","pop","popdens","pop_2050","popdens_2050","popdens_chg","popdens_chg_rel","artifshare_chg","artifshare_2050","artif_2050","artif_chg","elig_tld"
"15","15",666,82632,50242,"Tydal","5033",0.00805983154225966,"5033 Tydal",773,0.935472940265273,791,0.957256268757866,0.0217833284925937,2.32858990944373,1.84210469509064e-05,0.00807825258921056,668,2,3.87682366371155
"16","16",319,27986,147208,"Osen","5020",0.0113985564210677,"5020 Osen",898,3.20874723075824,867,3.09797756020868,-0.110769670549561,-3.4521158129176,-9.33232942696622e-05,0.011305233126798,316,0,100
"17","17",216,24341,256505,"Loppa","5614",0.00887391643728688,"5614 Loppa",864,3.54956657491475,1094,4.49447434369993,0.944907768785177,26.6203703703704,0.000794916569233541,0.00966883300652042,235,19,0.869164645671844
"18","18",493,7859,471,"Gjerdrum","3230",0.0627306273062731,"3230 Gjerdrum",7398,94.1341137549307,9468,120.473342664461,26.3392289095305,27.9805352798054,0.01874887094299,0.0814794982492631,640,147,9.85417366027832
"19","19",2097,82256,31887,"Nord-Fron","3436",0.0254935810153667,"3436 Nord-Fron",5586,6.79099397004474,5033,6.11870258704532,-0.672291382999417,-9.89974937343359,-0.000563258450891045,0.0249303225644756,2051,0,100
"20","20",456,20038,18386,"Hyllestad","4637",0.0227567621519114,"4637 Hyllestad",1268,6.32797684399641,1294,6.45773031240643,0.129753468410021,2.05047318611987,0.000108721259883836,0.0228654834117952,458,2,2.91629600524902
"21","21",1810,58005,6050,"Eidskog","3416",0.0312042065339195,"3416 Eidskog",6040,10.4128954400483,6129,10.566330488751,0.153435048702699,1.47350993377484,0.000127681356239423,0.0313318878901589,1817,7,8.35954761505127
"22","22",670,30174,5400,"VegÃ¥rshei","4212",0.0222045469609598,"4212 Vegårshei",2268,7.51640485185922,2680,8.88181878438391,1.36541393252469,18.1657848324515,0.00114061550562175,0.0233451624665815,704,34,3.08492612838745
"23","23",2683,39675,8137,"Lillehammer","3405",0.0676244486452426,"3405 Lillehammer",28768,72.5091367359798,32314,81.4467548834279,8.93761814744802,12.3261957730812,0.00667191357533675,0.0742963622205794,2948,265,12.3377208709717
"24","24",1489,66768,88788,"Rauma","1539",0.0223011023244668,"1539 Rauma",7299,10.9318835370237,7290,10.9184040258807,-0.0134795111430623,-0.123304562268802,-1.12088101160909e-05,0.0222898935143507,1488,0,100
"25","25",413,61410,62515,"Beiarn","1839",0.00672528904087282,"1839 Beiarn",1062,1.72936003908158,1018,1.65771047060739,-0.0716495684741898,-4.14312617702448,-6.05138200114922e-05,0.00666477522086133,409,0,100
"26","26",876,10275,109045,"HerÃ¸y","1515",0.0852554744525547,"1515 Herøy (Møre og Romsdal)",8968,87.279805352798,8518,82.9002433090024,-4.37956204379562,-5.01784121320249,-0.00322753054380125,0.0820279439087535,843,0,100
"27","27",591,14955,200374,"SmÃ¸la","1573",0.039518555667001,"1573 Smøla",2159,14.4366432631227,2162,14.4567034436643,0.0200601805416252,0.138953219082911,1.65827655554448e-05,0.0395351384325564,591,0,100
